,casualty_class,sex_of_casualty,age_of_casualty,casualty_severity,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
118,1,1,32,2,0,0,0,0,0,1,1,4
119,3,1,76,3,5,2,0,0,0,0,1,3
120,1,2,36,3,0,0,0,0,0,9,1,2
121,1,1,27,3,0,0,0,0,0,9,1,6
122,1,1,19,3,0,0,0,0,0,3,1,7
123,1,1,19,3,0,0,0,0,0,9,1,3
124,3,2,16,2,5,4,0,0,0,0,1,2
125,2,1,18,3,0,0,1,0,0,9,1,5
126,3,1,30,3,1,1,0,0,0,0,1,3
127,3,2,23,3,1,3,0,0,0,0,1,3
128,1,2,27,3,0,0,0,0,0,9,1,7
129,3,2,3,3,1,3,0,0,0,0,1,4
130,1,1,46,3,0,0,0,0,0,9,1,9
131,1,2,36,3,0,0,0,0,0,3,1,2
132,3,1,33,3,5,3,0,0,0,0,1,2
133,1,1,40,3,0,0,0,0,0,3,1,2
134,1,1,28,3,0,0,0,0,0,1,1,3
135,3,2,33,2,1,3,0,0,0,0,1,6
136,1,2,54,3,0,0,0,0,0,9,1,2
137,1,1,26,3,0,0,0,0,0,19,1,2
138,1,2,55,3,0,0,0,0,0,9,1,3
139,1,2,22,2,0,0,0,0,0,9,1,4
140,1,1,41,3,0,0,0,0,0,9,1,2
141,1,1,24,3,0,0,0,0,0,2,1,9
142,1,1,22,3,0,0,0,0,0,9,1,2
143,1,2,33,2,0,0,0,0,0,9,1,7
144,3,2,44,3,5,1,0,0,0,0,1,3
145,2,1,61,3,0,0,0,3,0,11,1,4
146,1,1,43,3,0,0,0,0,0,9,2,9
147,1,1,39,3,0,0,0,0,0,8,1,2
148,1,1,85,3,0,0,0,0,0,9,1,10
149,1,1,21,3,0,0,0,0,0,9,1,3
150,3,2,47,3,5,1,0,0,0,0,1,8
151,1,2,32,3,0,0,0,0,0,9,1,1
152,2,1,25,3,0,0,1,0,0,9,1,3
153,2,1,20,3,0,0,1,0,0,9,1,10
154,1,1,69,3,0,0,0,0,0,9,1,2
155,2,2,79,3,0,0,1,0,0,9,1,3
156,1,1,48,3,0,0,0,0,0,9,1,6
157,1,2,34,3,0,0,0,0,0,9,1,9
158,1,1,43,2,0,0,0,0,0,1,1,8
159,1,1,38,3,0,0,0,0,0,1,1,4
160,2,2,42,3,0,0,1,0,0,9,1,9
161,2,2,8,3,0,0,2,0,0,9,1,9
162,1,1,26,3,0,0,0,0,0,9,1,7
163,1,1,38,3,0,0,0,0,0,1,1,4
164,1,1,38,3,0,0,0,0,0,8,1,4
165,1,1,37,3,0,0,0,0,0,9,1,4
166,1,2,38,3,0,0,0,0,0,1,1,6
167,1,2,35,3,0,0,0,0,0,9,1,4
168,1,1,39,3,0,0,0,0,0,3,1,4
169,1,1,48,3,0,0,0,0,0,5,1,2
170,1,1,35,3,0,0,0,0,0,20,1,3
171,1,1,19,3,0,0,0,0,0,3,1,1
172,1,1,51,3,0,0,0,0,0,1,1,3
173,1,1,41,3,0,0,0,0,0,9,1,7
174,2,1,4,3,0,0,0,4,0,11,1,2
175,2,1,2,3,0,0,0,4,0,11,1,2
176,2,1,87,3,0,0,0,4,0,11,1,5
177,1,1,29,3,0,0,0,0,0,9,1,1
178,1,1,36,3,0,0,0,0,0,9,1,9
179,1,1,27,3,0,0,0,0,0,3,1,3
180,1,1,22,2,0,0,0,0,0,9,1,2
181,3,1,36,2,9,5,0,0,0,0,1,4
182,1,1,30,3,0,0,0,0,0,3,1,10
183,1,1,20,3,0,0,0,0,0,9,1,5
184,1,1,18,2,0,0,0,0,0,3,1,2
185,2,1,15,2,0,0,0,0,0,3,1,4
186,1,1,52,3,0,0,0,0,0,1,1,1
187,1,1,53,3,0,0,0,0,0,9,1,2
188,1,1,40,3,0,0,0,0,0,19,1,3
189,1,1,61,3,0,0,0,0,0,1,1,4
190,1,1,31,3,0,0,0,0,0,1,1,4
191,3,2,69,2,1,1,0,0,0,0,1,4
192,1,2,39,3,0,0,0,0,0,9,1,8
193,1,1,20,3,0,0,0,0,0,9,1,3
194,3,2,20,3,8,2,0,0,0,0,1,2
195,3,1,54,3,1,3,0,0,0,0,1,5
196,1,1,40,3,0,0,0,0,0,5,1,6
197,2,2,19,3,0,0,1,0,0,9,1,3
198,1,1,47,3,0,0,0,0,0,1,1,3
199,1,1,58,3,0,0,0,0,0,1,1,2
200,1,2,43,3,0,0,0,0,0,9,1,6
201,1,2,33,2,0,0,0,0,0,9,1,8
202,1,2,62,3,0,0,0,0,0,9,1,4
203,2,1,11,3,0,0,1,0,0,9,1,8
204,2,1,11,3,0,0,2,0,0,9,1,8
205,1,1,37,3,0,0,0,0,0,8,1,3
206,1,2,52,3,0,0,0,0,0,9,1,3
207,1,2,31,3,0,0,0,0,0,9,1,3
208,1,1,36,3,0,0,0,0,0,9,1,10
209,1,1,31,3,0,0,0,0,0,5,1,4
210,1,1,27,3,0,0,0,0,0,3,1,6
211,1,1,30,3,0,0,0,0,0,3,1,4
212,1,1,28,3,0,0,0,0,0,3,1,7
213,1,2,32,3,0,0,0,0,0,1,1,4
214,2,2,18,3,0,0,1,0,0,9,1,1
215,1,2,31,3,0,0,0,0,0,1,1,9
216,1,2,64,3,0,0,0,0,0,9,1,1
217,1,1,35,3,0,0,0,0,0,3,1,4
218,1,1,39,3,0,0,0,0,0,9,1,8
219,1,1,31,3,0,0,0,0,0,3,1,1
220,1,1,33,3,0,0,0,0,0,3,1,5
221,3,2,44,2,5,2,0,0,0,0,1,3
222,3,1,52,2,5,1,0,0,0,0,1,4
