,casualty_class,sex_of_casualty,age_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
37900,1,2,23,0,0,0,0,0,9,1,6
8538,1,1,57,0,0,0,0,0,1,1,3
63393,1,1,59,0,0,0,0,0,5,2,9
77691,1,2,58,0,0,0,0,0,9,1,6
82431,1,2,37,0,0,0,0,0,1,1,3
26820,1,1,44,0,0,0,0,0,9,1,1
26821,2,2,10,0,0,1,0,0,9,3,9
16743,1,1,51,0,0,0,0,0,9,1,1
11704,1,1,29,0,0,0,0,0,3,1,2
58035,2,1,18,0,0,2,0,0,9,1,1
30204,1,2,15,0,0,0,0,0,1,1,2
2493,1,2,27,0,0,0,0,0,9,1,1
29882,1,1,77,0,0,0,0,0,9,1,6
111259,3,2,54,5,4,0,0,0,0,1,10
45502,3,1,32,5,1,0,0,0,0,1,1
32391,1,1,22,0,0,0,0,0,9,1,1
72300,1,1,51,0,0,0,0,0,1,1,7
108107,1,1,41,0,0,0,0,0,9,2,2
28192,1,2,28,0,0,0,0,0,9,1,10
39411,1,1,57,0,0,0,0,0,1,1,7
22017,3,1,64,5,2,0,0,0,0,1,3
67727,1,2,24,0,0,0,0,0,9,2,6
71256,1,1,66,0,0,0,0,0,1,1,10
24709,1,1,27,0,0,0,0,0,9,1,2
84539,1,2,50,0,0,0,0,0,9,1,10
105234,1,1,9,0,0,0,0,0,1,1,2
11695,1,1,24,0,0,0,0,0,3,1,7
3782,1,1,23,0,0,0,0,0,3,1,7
2649,3,1,18,1,3,0,0,0,0,1,3
29644,3,2,64,5,3,0,0,0,0,1,2
105828,1,1,29,0,0,0,0,0,5,1,4
1036,1,1,73,0,0,0,0,0,9,1,6
16855,1,1,21,0,0,0,0,0,3,1,5
3856,1,2,46,0,0,0,0,0,1,1,4
82942,1,1,25,0,0,0,0,0,1,1,7
12147,1,1,26,0,0,0,0,0,3,1,1
3751,1,2,27,0,0,0,0,0,9,1,6
5429,1,1,23,0,0,0,0,0,9,1,5
28591,1,2,51,0,0,0,0,0,1,1,8
29676,1,1,13,0,0,0,0,0,1,1,8
74861,1,1,40,0,0,0,0,0,1,1,10
9658,2,2,8,0,0,2,0,0,9,1,3
71270,1,1,26,0,0,0,0,0,19,1,8
19604,1,2,35,0,0,0,0,0,9,1,4
82660,1,1,52,0,0,0,0,0,19,1,10
33350,1,1,44,0,0,0,0,0,9,1,3
86237,1,2,27,0,0,0,0,0,9,1,8
2314,1,1,53,0,0,0,0,0,5,2,5
72696,1,2,43,0,0,0,0,0,9,3,7
58013,2,2,38,0,0,1,0,0,9,1,6
94137,2,2,17,0,0,1,0,0,9,3,7
87120,1,1,35,0,0,0,0,0,9,2,3
42510,3,2,59,9,6,0,0,0,0,1,1
5487,2,1,17,0,0,0,0,0,9,1,9
104192,1,1,20,0,0,0,0,0,9,1,4
113001,1,2,26,0,0,0,0,0,9,3,4
99639,1,2,22,0,0,0,0,0,9,2,6
11404,1,2,18,0,0,0,0,0,9,1,1
108979,1,1,36,0,0,0,0,0,9,1,1
67849,1,1,40,0,0,0,0,0,9,2,8
71608,1,1,26,0,0,0,0,0,9,1,6
35970,1,2,29,0,0,0,0,0,9,1,3
107782,2,2,58,0,0,1,0,0,9,3,7
82671,1,1,38,0,0,0,0,0,9,2,7
96569,1,1,68,0,0,0,0,0,9,1,10
96429,2,1,11,0,0,2,0,0,9,1,5
86175,1,1,26,0,0,0,0,0,1,1,6
99353,1,2,42,0,0,0,0,0,9,1,4
62966,1,2,38,0,0,0,0,0,9,3,2
108825,1,2,55,0,0,0,0,0,9,3,4
95568,1,1,34,0,0,0,0,0,9,1,7
2875,3,2,53,1,1,0,0,0,0,1,8
13508,1,1,29,0,0,0,0,0,9,1,5
27863,1,1,55,0,0,0,0,0,1,1,9
7894,1,1,36,0,0,0,0,0,19,1,6
81835,1,1,46,0,0,0,0,0,9,1,9
3904,1,1,32,0,0,0,0,0,1,1,5
59888,2,1,8,0,0,2,0,0,9,3,9
28222,1,1,15,0,0,0,0,0,1,1,1
81537,1,1,56,0,0,0,0,0,9,3,10
83719,2,1,3,0,0,2,0,0,9,1,4
7931,2,2,24,0,0,1,0,0,9,1,1
61640,1,1,74,0,0,0,0,0,9,1,4
48327,1,1,14,0,0,0,0,0,1,1,1
94131,1,2,22,0,0,0,0,0,9,1,8
93661,2,2,23,0,0,1,0,0,9,3,9
74297,1,1,71,0,0,0,0,0,1,1,4
83605,1,1,59,0,0,0,0,0,9,1,3
2796,3,1,30,5,1,0,0,0,0,3,10
28097,2,2,16,0,0,1,0,0,9,1,4
64020,1,2,54,0,0,0,0,0,9,3,7
99585,1,1,75,0,0,0,0,0,5,3,4
82968,2,1,22,0,0,1,0,0,9,1,10
1906,1,1,42,0,0,0,0,0,9,1,1
62687,1,2,67,0,0,0,0,0,9,1,2
56765,1,2,27,0,0,0,0,0,9,3,7
576,1,2,80,0,0,0,0,0,9,1,3
47611,1,1,78,0,0,0,0,0,9,3,10
50774,1,1,47,0,0,0,0,0,9,1,2
50308,1,1,19,0,0,0,0,0,9,1,3
41191,1,1,24,0,0,0,0,0,3,1,2
113123,1,2,26,0,0,0,0,0,9,1,6
72336,1,1,42,0,0,0,0,0,1,1,5
77701,1,1,30,0,0,0,0,0,19,1,6
105505,1,1,25,0,0,0,0,0,9,1,7
40784,1,2,23,0,0,0,0,0,9,1,6
106200,2,1,8,0,0,2,0,0,9,3,6
6023,1,1,45,0,0,0,0,0,9,1,2
67210,2,2,76,0,0,1,0,0,9,2,6
95779,1,2,21,0,0,0,0,0,9,1,5
80707,1,1,23,0,0,0,0,0,1,1,5
115354,1,1,25,0,0,0,0,0,9,1,4
111921,1,1,51,0,0,0,0,0,1,1,9
41337,1,1,64,0,0,0,0,0,1,1,1
48490,2,2,18,0,0,1,0,0,9,1,5
108732,1,1,17,0,0,0,0,0,3,1,4
38008,1,1,70,0,0,0,0,0,5,1,5
4547,1,2,34,0,0,0,0,0,9,1,7
81719,1,1,20,0,0,0,0,0,9,2,9
94287,1,2,41,0,0,0,0,0,9,3,5
78313,1,1,68,0,0,0,0,0,1,2,7
54224,1,2,39,0,0,0,0,0,9,1,2
100262,3,2,45,8,6,0,0,0,0,2,8
7773,1,2,29,0,0,0,0,0,1,1,2
11514,2,1,55,0,0,0,0,0,19,1,1
68741,1,1,16,0,0,0,0,0,1,1,10
32877,1,1,92,0,0,0,0,0,9,1,10
64802,2,2,19,0,0,1,0,0,9,1,2
50426,3,1,43,9,5,0,0,1,0,1,3
45181,1,2,38,0,0,0,0,0,9,2,4
36964,1,2,57,0,0,0,0,0,9,1,2
56920,1,1,48,0,0,0,0,0,9,3,5
26759,1,1,29,0,0,0,0,0,5,1,8
56567,1,1,55,0,0,0,0,0,1,1,8
31547,1,1,41,0,0,0,0,0,9,1,4
75941,2,2,11,0,0,2,0,0,9,1,3
3918,2,2,39,0,0,0,4,0,11,1,7
49155,2,1,16,0,0,1,0,0,9,1,1
863,1,1,31,0,0,0,0,0,9,1,4
101271,1,1,57,0,0,0,0,0,9,1,6
12402,1,1,21,0,0,0,0,0,3,1,2
38894,1,2,47,0,0,0,0,0,1,1,10
47355,1,1,24,0,0,0,0,0,1,1,1
8933,1,2,46,0,0,0,0,0,9,1,9
5401,1,2,31,0,0,0,0,0,9,1,3
100233,1,2,23,0,0,0,0,0,9,1,6
30147,1,1,18,0,0,0,0,0,1,1,1
334,2,1,50,0,0,1,0,0,9,1,4
74581,1,1,20,0,0,0,0,0,9,1,10
63383,2,2,24,0,0,1,0,0,9,3,9
80360,1,1,60,0,0,0,0,0,5,3,6
19152,1,2,30,0,0,0,0,0,9,1,3
70117,1,1,44,0,0,0,0,0,9,3,6
59627,1,1,36,0,0,0,0,0,9,1,10
104209,1,2,60,0,0,0,0,0,9,1,1
77237,2,1,34,0,0,1,0,0,9,1,2
34391,3,1,28,9,5,0,0,0,0,1,2
29873,1,1,47,0,0,0,0,0,1,1,1
56500,1,1,69,0,0,0,0,0,5,1,1
35793,1,2,47,0,0,0,0,0,9,1,10
85329,3,2,66,8,8,0,0,0,0,1,10
41435,1,1,25,0,0,0,0,0,1,1,10
7562,1,1,29,0,0,0,0,0,3,1,2
4163,3,2,26,1,1,0,0,0,0,1,2
10544,1,1,31,0,0,0,0,0,9,1,2
52120,1,1,42,0,0,0,0,0,9,3,9
76304,1,1,71,0,0,0,0,0,9,1,9
100708,2,2,58,0,0,2,0,0,9,1,9
7976,1,2,54,0,0,0,0,0,1,1,6
25014,1,1,67,0,0,0,0,0,9,1,2
111070,1,2,35,0,0,0,0,0,9,1,5
35563,1,1,50,0,0,0,0,0,5,1,10
5309,1,1,29,0,0,0,0,0,9,1,3
101142,1,1,74,0,0,0,0,0,9,2,5
42488,1,2,18,0,0,0,0,0,1,1,8
21276,1,1,25,0,0,0,0,0,1,1,9
101985,1,1,23,0,0,0,0,0,9,1,4
79996,1,2,76,0,0,0,0,0,9,2,9
88961,1,2,44,0,0,0,0,0,9,1,10
106199,1,2,41,0,0,0,0,0,9,3,6
54087,1,1,34,0,0,0,0,0,9,1,3
85178,2,2,33,0,0,1,0,0,9,1,7
97130,3,1,25,4,2,0,0,0,0,1,4
65646,2,1,75,0,0,1,0,0,9,1,6
57933,1,1,56,0,0,0,0,0,9,1,6
74112,1,1,29,0,0,0,0,0,9,1,8
23767,3,2,15,5,3,0,0,0,0,1,3
75,1,1,33,0,0,0,0,0,4,1,5
26191,1,1,75,0,0,0,0,0,1,1,10
25906,1,1,50,0,0,0,0,0,9,1,9
3083,1,1,16,0,0,0,0,0,1,1,6
10835,1,2,36,0,0,0,0,0,9,1,5
111540,3,1,14,4,3,0,0,0,0,1,7
101807,1,1,55,0,0,0,0,0,9,3,7
67551,1,1,53,0,0,0,0,0,1,1,8
100862,1,2,19,0,0,0,0,0,9,1,5
35777,1,1,33,0,0,0,0,0,1,1,6
85906,1,1,49,0,0,0,0,0,19,2,9
86615,1,2,63,0,0,0,0,0,1,1,5
47001,3,1,48,4,1,0,0,0,0,1,4
105689,1,1,46,0,0,0,0,0,1,1,5
79185,1,1,20,0,0,0,0,0,1,1,4
97176,1,1,27,0,0,0,0,0,1,1,5
63879,1,1,22,0,0,0,0,0,19,2,8
84218,1,2,35,0,0,0,0,0,1,1,4
40642,1,1,39,0,0,0,0,0,8,1,1
50451,1,2,57,0,0,0,0,0,9,1,1
28612,1,2,60,0,0,0,0,0,9,1,6
11734,2,1,41,0,0,0,0,0,19,1,2
21166,1,1,28,0,0,0,0,0,4,1,4
290,1,1,65,0,0,0,0,0,9,1,3
30585,2,1,40,0,0,2,0,0,9,1,4
70650,2,1,14,0,0,2,0,0,9,2,7
55364,1,1,52,0,0,0,0,0,3,1,3
53468,1,1,7,0,0,0,0,0,1,1,1
68679,1,1,49,0,0,0,0,0,1,1,3
29703,1,2,53,0,0,0,0,0,9,1,3
8968,2,2,16,0,0,2,0,0,9,1,2
1881,2,2,42,0,0,1,0,0,9,1,4
10968,1,1,36,0,0,0,0,0,3,1,5
53579,2,2,86,0,0,1,0,0,9,2,10
32819,1,1,61,0,0,0,0,0,1,1,6
104486,1,1,22,0,0,0,0,0,1,1,8
64783,2,2,55,0,0,1,0,0,9,3,9
23219,1,1,45,0,0,0,0,0,19,1,2
115146,1,2,53,0,0,0,0,0,9,2,3
95622,1,1,74,0,0,0,0,0,9,2,8
18459,3,1,30,5,1,0,0,0,0,1,5
96942,2,2,77,0,0,1,0,0,9,3,6
83981,1,1,53,0,0,0,0,0,3,1,2
4573,3,2,44,1,3,0,0,0,0,1,7
38781,1,1,21,0,0,0,0,0,9,1,1
41445,2,2,37,0,0,1,0,0,9,1,2
80692,2,1,38,0,0,1,0,0,9,1,10
14065,1,1,20,0,0,0,0,0,3,1,1
67735,1,2,36,0,0,0,0,0,1,1,2
47246,3,2,80,6,7,0,0,0,0,1,10
100742,2,2,71,0,0,1,0,0,9,1,5
21385,1,1,40,0,0,0,0,0,3,1,3
61158,1,1,51,0,0,0,0,0,1,2,5
24591,1,1,14,0,0,0,0,0,1,2,1
95373,1,1,45,0,0,0,0,0,21,3,6
27087,2,2,20,0,0,1,0,0,9,1,2
89815,1,1,31,0,0,0,0,0,19,3,6
2025,1,1,28,0,0,0,0,0,1,1,3
94319,1,1,50,0,0,0,0,0,1,1,4
11159,1,1,23,0,0,0,0,0,3,1,7
94645,1,1,27,0,0,0,0,0,9,1,4
16029,2,1,29,0,0,2,0,0,9,1,3
67430,2,2,75,0,0,1,0,0,9,2,6
35137,1,1,35,0,0,0,0,0,19,2,9
20092,3,1,46,1,3,0,0,0,0,1,1
20810,1,1,37,0,0,0,0,0,8,1,2
17480,2,2,31,0,0,0,4,0,11,1,9
52433,1,2,41,0,0,0,0,0,9,1,3
21071,1,2,27,0,0,0,0,0,1,1,3
97513,1,1,26,0,0,0,0,0,21,1,1
45605,1,2,41,0,0,0,0,0,9,1,2
62293,1,1,60,0,0,0,0,0,1,1,6
98339,1,2,18,0,0,0,0,0,3,1,9
78650,1,2,22,0,0,0,0,0,9,1,5
29154,2,1,35,0,0,1,0,0,9,1,1
865,3,2,33,5,1,0,0,0,0,1,5
3943,2,2,45,0,0,0,3,0,11,1,7
105436,1,1,35,0,0,0,0,0,5,2,7
21929,1,1,50,0,0,0,0,0,1,1,6
71313,1,2,62,0,0,0,0,0,9,1,3
31530,1,1,35,0,0,0,0,0,1,1,2
25804,1,1,43,0,0,0,0,0,5,1,1
17592,1,1,28,0,0,0,0,0,1,1,2
19806,1,1,23,0,0,0,0,0,3,1,3
106001,1,1,46,0,0,0,0,0,9,2,4
68399,1,2,55,0,0,0,0,0,9,1,8
114041,1,2,45,0,0,0,0,0,9,1,5
71898,1,2,19,0,0,0,0,0,9,1,5
25763,1,1,56,0,0,0,0,0,1,1,1
39690,2,1,21,0,0,1,0,0,9,1,1
61669,1,1,10,0,0,0,0,0,1,1,1
15158,1,2,43,0,0,0,0,0,9,1,7
48452,1,1,29,0,0,0,0,0,1,1,7
67676,1,1,68,0,0,0,0,0,5,2,8
112373,3,1,27,5,3,0,0,0,0,1,1
82684,1,2,85,0,0,0,0,0,9,1,5
19805,1,1,21,0,0,0,0,0,9,1,4
57410,1,2,36,0,0,0,0,0,9,3,4
103471,2,2,47,0,0,1,0,0,9,1,3
102469,1,1,27,0,0,0,0,0,9,1,3
36542,2,2,29,0,0,2,0,0,9,1,5
64159,1,1,25,0,0,0,0,0,9,3,5
38036,1,1,40,0,0,0,0,0,1,3,5
