,casualty_class,sex_of_casualty,age_of_casualty,pedestrian_location,pedestrian_movement,car_passenger,bus_or_coach_passenger,pedestrian_road_maintenance_worker,casualty_type,casualty_home_area_type,casualty_imd_decile
96278,2,1,9,0,0,1,0,0,9,3,8
1007,3,1,49,4,1,0,0,0,0,1,3
62884,1,2,59,0,0,0,0,0,9,3,6
69058,1,1,53,0,0,0,0,0,9,3,5
20074,1,2,55,0,0,0,0,0,9,1,5
68057,1,1,24,0,0,0,0,0,4,2,9
55550,1,2,53,0,0,0,0,0,5,2,6
65282,1,1,36,0,0,0,0,0,5,1,7
74496,1,1,42,0,0,0,0,0,19,1,3
86979,1,1,42,0,0,0,0,0,9,1,9
55373,1,1,18,0,0,0,0,0,1,1,10
85384,1,1,58,0,0,0,0,0,9,1,5
28461,1,2,49,0,0,0,0,0,9,1,3
84713,1,1,21,0,0,0,0,0,9,1,2
72361,1,2,41,0,0,0,0,0,9,1,5
88014,3,1,12,5,1,0,0,0,0,1,5
111883,1,1,28,0,0,0,0,0,3,1,3
64797,1,1,26,0,0,0,0,0,3,1,1
37483,1,2,68,0,0,0,0,0,9,1,4
19223,1,1,25,0,0,0,0,0,5,1,5
34174,1,2,48,0,0,0,0,0,9,1,2
30220,1,1,22,0,0,0,0,0,1,1,2
42465,1,1,50,0,0,0,0,0,9,1,3
12124,1,2,33,0,0,0,0,0,3,1,3
87141,1,1,40,0,0,0,0,0,1,3,10
2163,3,1,2,5,1,0,0,0,0,1,3
11528,1,1,18,0,0,0,0,0,90,1,3
99396,3,2,14,1,1,0,0,0,0,1,7
82036,3,2,79,5,3,0,0,0,0,1,6
44131,1,2,31,0,0,0,0,0,9,1,3
65640,3,2,4,5,3,0,0,0,0,1,2
61297,1,2,20,0,0,0,0,0,9,3,8
62418,1,1,17,0,0,0,0,0,9,3,8
75300,1,1,25,0,0,0,0,0,9,1,1
56959,1,1,37,0,0,0,0,0,9,1,5
26064,1,1,45,0,0,0,0,0,9,1,2
4755,1,1,32,0,0,0,0,0,19,1,3
58650,1,1,28,0,0,0,0,0,9,1,6
25313,1,1,38,0,0,0,0,0,9,1,1
82713,1,1,41,0,0,0,0,0,9,1,1
101560,1,1,41,0,0,0,0,0,19,1,10
58247,1,1,49,0,0,0,0,0,5,3,9
103976,2,2,18,0,0,1,0,0,9,1,1
71515,2,2,50,0,0,0,0,0,90,1,5
22814,1,2,24,0,0,0,0,0,3,1,6
84858,1,1,32,0,0,0,0,0,19,1,6
74403,1,1,56,0,0,0,0,0,19,3,9
71483,1,1,60,0,0,0,0,0,1,3,9
57952,1,1,64,0,0,0,0,0,5,1,1
55346,3,1,76,5,2,0,0,0,0,1,9
70735,2,2,18,0,0,2,0,0,9,1,7
57945,3,2,78,5,3,0,0,0,0,1,9
19239,1,1,33,0,0,0,0,0,5,1,7
115550,2,2,69,0,0,1,0,0,9,1,10
64542,1,1,35,0,0,0,0,0,3,1,3
20444,1,1,32,0,0,0,0,0,9,1,7
98045,1,1,60,0,0,0,0,0,1,1,5
60553,2,2,37,0,0,1,0,0,9,2,3
17735,1,2,26,0,0,0,0,0,9,1,6
92328,1,1,34,0,0,0,0,0,9,1,9
60170,2,1,19,0,0,1,0,0,9,1,4
92317,1,1,42,0,0,0,0,0,9,1,3
63122,1,1,40,0,0,0,0,0,2,3,3
52974,1,1,17,0,0,0,0,0,90,1,1
6155,1,1,42,0,0,0,0,0,1,1,2
30033,1,1,59,0,0,0,0,0,21,3,7
37074,1,2,40,0,0,0,0,0,9,1,2
62632,1,2,55,0,0,0,0,0,9,1,1
83582,1,1,63,0,0,0,0,0,9,3,8
105726,1,2,77,0,0,0,0,0,9,1,7
96909,1,1,45,0,0,0,0,0,9,1,8
111082,2,2,12,0,0,2,0,0,9,3,5
30661,1,1,47,0,0,0,0,0,1,1,1
51863,2,2,32,0,0,1,0,0,9,1,2
109720,1,1,19,0,0,0,0,0,9,1,10
21874,1,1,23,0,0,0,0,0,2,1,7
105635,1,2,36,0,0,0,0,0,9,1,7
6548,1,2,54,0,0,0,0,0,1,1,9
106207,1,2,24,0,0,0,0,0,9,3,6
8640,2,2,60,0,0,1,0,0,9,1,2
100573,3,1,11,1,1,0,0,0,0,1,2
21049,1,1,28,0,0,0,0,0,1,1,8
88295,1,2,27,0,0,0,0,0,3,1,6
31542,1,1,17,0,0,0,0,0,1,1,3
30410,1,2,29,0,0,0,0,0,9,1,2
50873,1,1,51,0,0,0,0,0,9,1,1
99413,2,2,82,0,0,1,0,0,9,2,2
52195,3,2,16,1,1,0,0,0,0,1,1
111105,1,2,18,0,0,0,0,0,9,1,5
1356,1,1,55,0,0,0,0,0,8,1,2
65587,1,1,21,0,0,0,0,0,9,1,3
22677,1,1,18,0,0,0,0,0,3,1,6
72992,1,2,19,0,0,0,0,0,9,1,9
96122,1,2,48,0,0,0,0,0,9,1,6
26476,2,2,25,0,0,1,0,0,9,1,1
114644,2,2,44,0,0,1,0,0,9,1,1
16376,1,1,25,0,0,0,0,0,3,1,2
21771,1,1,38,0,0,0,0,0,9,1,4
60405,2,2,22,0,0,1,0,0,9,1,3
47014,1,1,29,0,0,0,0,0,19,1,5
77268,1,1,53,0,0,0,0,0,9,1,1
46751,1,2,52,0,0,0,0,0,9,2,7
73127,1,2,22,0,0,0,0,0,9,1,4
102561,1,1,30,0,0,0,0,0,1,1,3
89123,2,2,61,0,0,1,0,0,9,3,9
98963,2,2,84,0,0,0,4,0,11,1,7
68639,1,1,22,0,0,0,0,0,9,1,6
33078,1,1,93,0,0,0,0,0,90,1,8
58157,1,1,28,0,0,0,0,0,19,1,6
20465,1,1,37,0,0,0,0,0,3,1,5
86395,1,2,43,0,0,0,0,0,9,1,9
55716,1,1,16,0,0,0,0,0,2,1,1
110845,2,1,18,0,0,1,0,0,9,1,5
57991,2,2,3,0,0,2,0,0,9,1,1
101061,2,2,44,0,0,1,0,0,9,1,6
98916,1,1,78,0,0,0,0,0,1,2,9
96320,1,1,55,0,0,0,0,0,19,1,10
37756,1,1,42,0,0,0,0,0,9,2,8
76276,2,2,51,0,0,1,0,0,9,1,4
39761,1,1,19,0,0,0,0,0,9,1,7
109246,1,1,14,0,0,0,0,0,9,1,1
83265,1,1,30,0,0,0,0,0,3,1,4
64500,1,2,61,0,0,0,0,0,9,3,10
34813,2,1,5,0,0,2,0,0,9,1,2
99598,1,1,21,0,0,0,0,0,9,3,4
69963,1,1,41,0,0,0,0,0,1,1,4
41561,1,2,24,0,0,0,0,0,23,1,1
44144,3,1,57,5,1,0,0,0,0,1,1
75646,1,2,56,0,0,0,0,0,9,1,2
6088,1,1,26,0,0,0,0,0,2,1,5
113817,2,1,29,0,0,1,0,0,9,2,2
73175,1,2,23,0,0,0,0,0,9,1,3
43120,1,2,26,0,0,0,0,0,9,1,1
24583,1,1,62,0,0,0,0,0,9,1,6
107857,1,1,27,0,0,0,0,0,9,1,7
31352,1,1,47,0,0,0,0,0,1,1,6
26407,2,2,4,0,0,1,0,0,9,1,3
78366,2,2,53,0,0,2,0,0,9,3,8
67845,1,1,32,0,0,0,0,0,19,3,4
43752,1,1,47,0,0,0,0,0,9,1,5
62617,1,1,51,0,0,0,0,0,19,3,5
109472,1,2,44,0,0,0,0,0,9,1,2
24743,1,2,27,0,0,0,0,0,9,2,4
81905,2,1,45,0,0,1,0,0,9,1,9
43659,1,1,59,0,0,0,0,0,1,1,8
23064,3,2,15,1,1,0,0,0,0,1,2
92279,2,1,27,0,0,2,0,0,9,1,2
67758,1,1,35,0,0,0,0,0,9,3,7
50311,1,1,61,0,0,0,0,0,9,1,2
44176,1,2,52,0,0,0,0,0,9,1,1
29680,1,2,19,0,0,0,0,0,9,1,1
111603,2,1,56,0,0,1,0,0,9,3,7
13827,1,1,27,0,0,0,0,0,9,1,5
108289,1,1,30,0,0,0,0,0,9,1,1
28649,1,1,33,0,0,0,0,0,9,1,1
50796,1,2,32,0,0,0,0,0,9,1,1
84495,1,1,32,0,0,0,0,0,9,1,6
96745,1,1,18,0,0,0,0,0,3,1,6
82998,1,1,60,0,0,0,0,0,9,3,8
38576,2,1,87,0,0,1,0,0,9,1,3
14756,1,1,32,0,0,0,0,0,3,1,2
43330,1,1,35,0,0,0,0,0,9,1,5
13074,1,1,27,0,0,0,0,0,9,1,3
82139,1,2,53,0,0,0,0,0,9,3,7
28205,1,1,23,0,0,0,0,0,9,1,1
68323,1,1,34,0,0,0,0,0,1,1,8
70516,2,1,40,0,0,1,0,0,9,1,4
13462,1,2,31,0,0,0,0,0,9,1,2
113731,1,1,21,0,0,0,0,0,9,1,5
56231,1,2,71,0,0,0,0,0,1,1,5
114331,2,2,46,0,0,0,0,0,19,1,3
35574,1,2,32,0,0,0,0,0,9,1,1
72596,1,1,53,0,0,0,0,0,9,1,4
45494,1,1,32,0,0,0,0,0,9,1,1
68718,1,1,41,0,0,0,0,0,9,3,6
109536,1,1,34,0,0,0,0,0,9,2,1
5035,1,2,39,0,0,0,0,0,9,1,5
16797,1,1,41,0,0,0,0,0,3,1,6
110471,1,1,51,0,0,0,0,0,19,1,1
113392,1,1,72,0,0,0,0,0,9,3,6
89542,1,1,23,0,0,0,0,0,9,1,7
91219,1,1,26,0,0,0,0,0,4,1,9
72187,1,2,39,0,0,0,0,0,9,1,10
13931,3,1,66,5,1,0,0,0,0,1,8
47669,1,2,68,0,0,0,0,0,9,2,7
96872,1,2,26,0,0,0,0,0,9,1,4
34212,1,1,48,0,0,0,0,0,1,2,9
26449,1,2,61,0,0,0,0,0,1,3,7
37213,3,2,16,5,1,0,0,0,0,1,2
15278,1,1,48,0,0,0,0,0,1,1,10
8811,1,1,28,0,0,0,0,0,3,1,2
81708,2,2,62,0,0,1,0,0,9,1,6
74900,2,2,59,0,0,2,0,0,9,1,9
19660,1,1,32,0,0,0,0,0,1,1,3
56719,1,2,16,0,0,0,0,0,16,2,4
85133,2,1,22,0,0,0,0,0,20,1,2
59117,1,1,19,0,0,0,0,0,19,2,10
21561,1,1,24,0,0,0,0,0,1,1,2
100422,1,1,23,0,0,0,0,0,9,3,4
58817,1,1,33,0,0,0,0,0,9,2,9
15452,1,1,36,0,0,0,0,0,3,1,3
108873,1,2,20,0,0,0,0,0,8,1,2
23934,1,2,28,0,0,0,0,0,3,1,2
72309,1,1,19,0,0,0,0,0,9,1,9
62272,1,1,32,0,0,0,0,0,3,2,6
25587,1,1,21,0,0,0,0,0,9,1,2
28313,1,1,34,0,0,0,0,0,9,1,1
81651,1,1,30,0,0,0,0,0,9,1,5
106136,1,1,15,0,0,0,0,0,1,1,8
82674,1,1,26,0,0,0,0,0,9,1,3
18000,1,1,20,0,0,0,0,0,9,1,4
63474,1,2,61,0,0,0,0,0,9,3,3
81394,1,2,46,0,0,0,0,0,9,3,6
111410,1,2,31,0,0,0,0,0,9,1,4
110616,1,1,38,0,0,0,0,0,9,3,5
43159,2,2,58,0,0,1,0,0,9,1,10
93445,1,1,20,0,0,0,0,0,9,3,7
101317,1,1,44,0,0,0,0,0,1,3,8
34698,1,2,28,0,0,0,0,0,9,1,1
44388,1,2,23,0,0,0,0,0,9,1,9
54231,1,1,46,0,0,0,0,0,9,1,2
52126,1,1,23,0,0,0,0,0,9,1,7
60734,1,1,59,0,0,0,0,0,9,1,1
68049,2,2,17,0,0,1,0,0,9,2,5
111909,1,2,41,0,0,0,0,0,9,3,4
60930,2,2,47,0,0,1,0,0,9,2,10
95649,1,1,48,0,0,0,0,0,9,2,9
106357,1,1,28,0,0,0,0,0,9,2,7
2765,1,2,49,0,0,0,0,0,9,1,1
37977,1,1,66,0,0,0,0,0,1,3,8
50597,1,1,35,0,0,0,0,0,9,2,5
36766,1,1,48,0,0,0,0,0,9,1,3
9587,1,1,19,0,0,0,0,0,3,1,2
41803,1,1,56,0,0,0,0,0,5,3,6
65689,1,1,25,0,0,0,0,0,9,3,7
75835,1,1,28,0,0,0,0,0,9,3,7
78829,1,1,26,0,0,0,0,0,19,1,9
106506,1,1,73,0,0,0,0,0,9,3,6
88699,1,1,76,0,0,0,0,0,9,3,7
41943,3,1,15,5,3,0,0,0,0,1,1
20375,1,1,50,0,0,0,0,0,3,1,5
37495,1,2,47,0,0,0,0,0,9,1,3
21165,3,2,14,5,3,0,0,0,0,1,2
8708,1,2,47,0,0,0,0,0,4,1,4
7265,1,1,45,0,0,0,0,0,9,1,4
82242,2,2,11,0,0,1,0,0,9,1,10
46777,1,1,23,0,0,0,0,0,9,1,1
10394,1,2,41,0,0,0,0,0,9,1,3
24527,1,2,29,0,0,0,0,0,9,1,3
9626,1,1,39,0,0,0,0,0,1,1,6
56830,3,2,31,8,3,0,0,0,0,1,5
64430,1,2,61,0,0,0,0,0,9,1,9
78040,1,1,22,0,0,0,0,0,9,1,6
60581,2,1,30,0,0,1,0,0,9,1,2
57469,1,2,26,0,0,0,0,0,9,1,9
2500,1,2,56,0,0,0,0,0,9,1,2
78539,1,1,20,0,0,0,0,0,9,1,6
20446,1,1,43,0,0,0,0,0,3,1,5
54571,1,1,23,0,0,0,0,0,9,1,9
105029,1,1,55,0,0,0,0,0,1,2,8
70167,1,1,79,0,0,0,0,0,9,2,5
10986,3,1,4,5,3,0,0,0,0,1,2
3135,1,1,23,0,0,0,0,0,9,1,9
76518,3,1,19,5,1,0,0,0,0,1,3
29855,1,2,64,0,0,0,0,0,9,1,6
1024,2,1,27,0,0,2,0,0,8,1,4
32216,1,2,44,0,0,0,0,0,9,2,4
46862,1,1,16,0,0,0,0,0,1,1,9
69587,1,1,55,0,0,0,0,0,9,3,4
41313,2,1,31,0,0,1,0,0,9,1,4
40011,1,2,26,0,0,0,0,0,9,1,10
89119,1,1,74,0,0,0,0,0,19,3,5
60202,1,1,44,0,0,0,0,0,9,1,10
20562,1,1,20,0,0,0,0,0,4,1,4
100400,1,1,78,0,0,0,0,0,9,1,4
94634,1,1,38,0,0,0,0,0,19,1,4
48728,3,1,7,5,1,0,0,0,0,1,1
84944,1,1,37,0,0,0,0,0,9,1,8
59739,1,1,33,0,0,0,0,0,9,1,4
68067,3,2,64,5,1,0,0,0,0,3,8
16142,3,1,38,5,3,0,0,0,0,1,3
30411,2,1,6,0,0,2,0,0,9,1,5
23495,1,2,63,0,0,0,0,0,9,1,2
84994,1,1,83,0,0,0,0,0,9,3,7
57715,1,1,65,0,0,0,0,0,1,1,1
63015,3,2,11,8,3,0,0,0,0,2,7
68322,1,2,42,0,0,0,0,0,9,1,10
107970,1,2,40,0,0,0,0,0,9,1,2
20853,1,1,35,0,0,0,0,0,1,1,1
102184,1,1,41,0,0,0,0,0,1,1,7
72407,2,2,58,0,0,1,0,0,9,1,5
31997,1,1,41,0,0,0,0,0,8,1,1
12257,1,1,49,0,0,0,0,0,9,1,4
45473,1,1,17,0,0,0,0,0,2,1,3
91843,1,1,18,0,0,0,0,0,4,1,1
91133,1,1,64,0,0,0,0,0,1,1,3
29713,2,1,3,0,0,2,0,0,9,1,1
12762,1,1,33,0,0,0,0,0,2,1,8
8662,1,2,28,0,0,0,0,0,9,1,3
51624,1,1,29,0,0,0,0,0,9,1,3
100116,2,1,36,0,0,1,0,0,9,3,7
94201,1,1,58,0,0,0,0,0,1,1,9
98649,1,1,29,0,0,0,0,0,19,1,2
38895,1,2,59,0,0,0,0,0,1,3,8
104349,1,2,52,0,0,0,0,0,9,1,9
57526,3,2,23,5,2,0,0,0,0,1,8
33269,3,1,12,5,4,0,0,0,0,1,2
110709,3,2,81,5,3,0,0,0,0,2,3
76247,1,2,58,0,0,0,0,0,1,1,9
33415,1,1,20,0,0,0,0,0,2,1,2
3084,2,2,89,0,0,0,1,0,11,1,1
30054,1,1,43,0,0,0,0,0,1,1,1
85456,3,1,62,5,3,0,0,0,0,1,3
90859,1,2,39,0,0,0,0,0,9,1,7
11998,2,2,77,0,0,1,0,0,9,1,6
50723,1,1,22,0,0,0,0,0,8,1,4
5082,1,1,52,0,0,0,0,0,1,1,6
68703,3,2,68,5,1,0,0,0,0,2,3
58000,1,1,27,0,0,0,0,0,9,1,2
79644,2,2,28,0,0,1,0,0,9,1,10
41783,2,1,25,0,0,1,0,0,9,1,3
96622,1,2,44,0,0,0,0,0,1,1,3
88122,2,2,36,0,0,1,0,0,9,1,4
110224,1,2,67,0,0,0,0,0,9,3,7
35500,3,2,29,1,3,0,0,0,0,1,3
31247,3,1,60,5,3,0,0,0,0,1,1
112411,3,2,37,4,4,0,0,0,0,1,2
12823,1,1,25,0,0,0,0,0,1,1,1
94592,1,2,54,0,0,0,0,0,1,1,6
100766,2,2,55,0,0,1,0,0,9,2,5
12924,1,1,37,0,0,0,0,0,3,1,4
76278,1,1,51,0,0,0,0,0,9,1,7
39580,1,1,18,0,0,0,0,0,4,3,7
1702,1,1,31,0,0,0,0,0,9,1,7
22966,1,1,18,0,0,0,0,0,3,1,9
14633,2,1,23,0,0,2,0,0,9,1,3
27727,2,1,19,0,0,1,0,0,9,1,5
15299,2,1,20,0,0,0,0,0,19,1,2
14831,1,1,32,0,0,0,0,0,9,1,3
15502,1,1,38,0,0,0,0,0,8,1,1
29832,1,1,14,0,0,0,0,0,1,1,9
41302,1,1,12,0,0,0,0,0,1,3,7
39368,1,1,58,0,0,0,0,0,5,2,9
70067,1,2,53,0,0,0,0,0,9,1,7
92290,1,2,80,0,0,0,0,0,22,3,8
92737,2,1,14,0,0,2,0,0,9,1,3
8075,1,2,30,0,0,0,0,0,1,1,2
54894,2,1,65,0,0,1,0,0,9,1,1
110924,1,1,18,0,0,0,0,0,9,2,4
81673,1,2,43,0,0,0,0,0,1,1,6
76458,1,2,37,0,0,0,0,0,9,2,9
69796,1,1,17,0,0,0,0,0,3,1,10
105615,1,2,47,0,0,0,0,0,9,1,10
13202,1,1,26,0,0,0,0,0,1,1,3
1178,1,1,17,0,0,0,0,0,9,1,6
9098,1,1,18,0,0,0,0,0,1,1,4
58077,1,1,32,0,0,0,0,0,3,1,10
71871,2,1,52,0,0,2,0,0,9,1,6
30304,1,1,59,0,0,0,0,0,5,1,5
48610,1,2,74,0,0,0,0,0,9,2,9
26490,1,2,26,0,0,0,0,0,9,1,3
108316,3,2,11,5,1,0,0,0,0,1,5
55529,2,1,26,0,0,1,0,0,9,1,9
23372,1,1,31,0,0,0,0,0,1,1,4
2604,3,2,60,5,1,0,0,0,0,1,4
91185,1,2,43,0,0,0,0,0,9,1,4
24500,1,1,51,0,0,0,0,0,9,1,5
70583,1,1,38,0,0,0,0,0,1,1,7
26467,1,1,25,0,0,0,0,0,9,1,4
99374,1,1,48,0,0,0,0,0,5,3,5
105940,1,2,42,0,0,0,0,0,9,3,6
13945,3,2,66,5,1,0,0,0,0,1,5
88575,2,2,20,0,0,2,0,0,9,1,10
17621,1,1,45,0,0,0,0,0,9,1,6
67413,1,1,89,0,0,0,0,0,1,1,9
33140,1,2,30,0,0,0,0,0,9,1,1
87734,1,1,30,0,0,0,0,0,19,1,2
80414,3,2,24,1,3,0,0,0,0,1,9
106603,1,2,24,0,0,0,0,0,9,1,5
17673,3,1,12,9,5,0,0,0,0,1,2
7061,1,2,41,0,0,0,0,0,9,1,2
92755,1,1,83,0,0,0,0,0,9,2,7
70429,1,2,36,0,0,0,0,0,9,1,9
39252,1,1,23,0,0,0,0,0,9,1,3
45807,1,1,55,0,0,0,0,0,9,1,8
88907,1,2,34,0,0,0,0,0,9,1,1
83501,1,1,46,0,0,0,0,0,1,1,4
91819,1,1,32,0,0,0,0,0,9,1,4
68187,2,1,27,0,0,1,0,0,9,1,4
103518,1,1,53,0,0,0,0,0,9,3,7
2218,1,1,32,0,0,0,0,0,8,1,3
102562,1,1,47,0,0,0,0,0,3,1,2
64135,1,1,39,0,0,0,0,0,9,3,3
50527,2,1,20,0,0,1,0,0,9,1,6
22815,1,1,33,0,0,0,0,0,1,1,2
16182,1,2,80,0,0,0,0,0,9,1,6
44491,1,1,18,0,0,0,0,0,3,2,4
2839,1,1,52,0,0,0,0,0,5,1,5
35522,1,1,34,0,0,0,0,0,9,2,6
112573,1,1,37,0,0,0,0,0,9,3,8
70301,1,1,32,0,0,0,0,0,2,3,5
100063,1,1,28,0,0,0,0,0,3,1,2
5173,1,2,30,0,0,0,0,0,1,1,2
21878,1,1,17,0,0,0,0,0,90,1,6
39619,1,1,19,0,0,0,0,0,9,2,9
111870,1,2,56,0,0,0,0,0,9,1,2
7083,1,1,33,0,0,0,0,0,3,1,3
45659,1,2,58,0,0,0,0,0,9,1,8
76691,3,1,28,6,5,0,0,0,0,1,1
33702,1,2,52,0,0,0,0,0,9,1,10
73102,3,1,12,4,2,0,0,0,0,1,4
98820,1,2,68,0,0,0,0,0,9,3,4
44956,1,1,16,0,0,0,0,0,2,1,1
6650,1,1,53,0,0,0,0,0,9,1,4
74374,1,1,22,0,0,0,0,0,9,3,7
14210,1,1,38,0,0,0,0,0,9,1,1
88602,1,2,31,0,0,0,0,0,9,1,7
84289,1,2,34,0,0,0,0,0,9,1,5
43058,1,1,40,0,0,0,0,0,9,1,2
90042,1,1,67,0,0,0,0,0,5,3,6
30883,1,1,25,0,0,0,0,0,9,1,9
109091,1,1,52,0,0,0,0,0,9,2,10
18870,1,1,24,0,0,0,0,0,9,1,9
58284,1,2,32,0,0,0,0,0,9,1,7
29536,3,2,46,1,3,0,0,0,0,1,1
77583,3,2,14,1,1,0,0,0,0,1,6
12811,1,2,54,0,0,0,0,0,9,1,2
49025,1,1,37,0,0,0,0,0,9,1,1
65311,2,2,58,0,0,1,0,0,9,2,1
78576,1,2,30,0,0,0,0,0,1,3,7
61581,1,2,69,0,0,0,0,0,9,1,2
101040,2,2,42,0,0,1,0,0,9,3,7
17040,1,1,30,0,0,0,0,0,9,1,5
44465,1,2,50,0,0,0,0,0,9,1,2
87191,2,2,23,0,0,1,0,0,9,3,5
92181,1,1,54,0,0,0,0,0,5,1,1
25586,1,1,35,0,0,0,0,0,9,1,1
99054,1,1,36,0,0,0,0,0,3,1,2
10528,1,1,40,0,0,0,0,0,3,1,4
22753,3,1,56,1,3,0,0,0,0,1,1
33221,2,1,60,0,0,0,4,0,11,1,3
12876,1,1,28,0,0,0,0,0,19,1,2
24828,1,1,45,0,0,0,0,0,9,1,1
2864,3,1,57,4,1,0,0,0,0,1,3
47905,1,1,12,0,0,0,0,0,1,1,10
40018,3,2,66,5,4,0,0,0,0,1,2
65193,1,1,37,0,0,0,0,0,9,1,2
100291,1,1,18,0,0,0,0,0,9,3,6
56760,1,1,72,0,0,0,0,0,9,3,4
111672,3,1,59,4,1,0,0,0,0,1,1
44949,1,2,22,0,0,0,0,0,9,1,4
96348,1,1,22,0,0,0,0,0,1,2,7
104998,2,2,42,0,0,1,0,0,9,1,2
78192,1,1,33,0,0,0,0,0,9,1,9
19726,1,1,23,0,0,0,0,0,1,1,3
96722,1,1,87,0,0,0,0,0,9,3,5
98221,1,1,27,0,0,0,0,0,9,1,2
87520,1,1,80,0,0,0,0,0,9,3,8
19503,1,1,25,0,0,0,0,0,90,1,2
73688,2,1,21,0,0,1,0,0,9,1,8
6849,1,1,23,0,0,0,0,0,9,1,2
106143,1,1,73,0,0,0,0,0,1,2,7
56987,1,2,44,0,0,0,0,0,9,1,2
30688,2,2,18,0,0,2,0,0,8,1,3
12347,1,2,31,0,0,0,0,0,1,1,1
80056,1,1,19,0,0,0,0,0,9,1,10
42125,1,1,59,0,0,0,0,0,1,1,9
18125,1,1,72,0,0,0,0,0,8,1,8
51849,2,2,66,0,0,1,0,0,9,1,4
29130,1,2,23,0,0,0,0,0,9,1,1
27083,1,2,29,0,0,0,0,0,9,1,4
104286,1,2,59,0,0,0,0,0,1,1,2
112002,2,2,43,0,0,2,0,0,9,1,1
61704,1,2,40,0,0,0,0,0,9,1,1
69728,2,2,81,0,0,1,0,0,9,1,3
54049,2,1,1,0,0,2,0,0,9,1,4
104864,1,1,81,0,0,0,0,0,9,2,7
86111,1,1,55,0,0,0,0,0,1,1,5
20308,1,1,40,0,0,0,0,0,9,1,6
59254,1,1,52,0,0,0,0,0,9,1,5
27023,1,2,47,0,0,0,0,0,9,1,1
17315,3,2,17,8,3,0,0,0,0,1,7
54824,2,2,34,0,0,1,0,0,9,1,2
58839,1,2,20,0,0,0,0,0,9,1,1
77572,1,2,33,0,0,0,0,0,9,1,2
69487,1,2,72,0,0,0,0,0,9,2,9
14581,3,2,24,5,3,0,0,0,0,1,6
3289,3,2,48,5,3,0,0,0,0,1,3
108438,2,2,17,0,0,1,0,0,9,1,4
104945,1,1,19,0,0,0,0,0,9,2,10
18062,1,1,41,0,0,0,0,0,3,1,4
112548,1,1,72,0,0,0,0,0,1,1,10
33588,2,2,33,0,0,0,4,0,11,1,2
89819,1,2,33,0,0,0,0,0,9,2,5
34409,1,1,72,0,0,0,0,0,1,1,2
6103,1,1,54,0,0,0,0,0,1,1,3
91434,2,1,31,0,0,2,0,0,9,1,10
26187,2,2,15,0,0,1,0,0,9,2,9
97188,3,1,63,5,3,0,0,0,0,1,3
102720,1,2,38,0,0,0,0,0,9,3,9
47050,1,2,61,0,0,0,0,0,1,1,4
43481,2,2,32,0,0,2,0,0,9,1,2
103895,2,2,23,0,0,1,0,0,9,3,7
56899,1,1,39,0,0,0,0,0,9,1,2
95522,1,2,40,0,0,0,0,0,9,1,10
104842,1,2,28,0,0,0,0,0,9,1,5
53586,1,1,36,0,0,0,0,0,9,1,1
48437,2,2,65,0,0,1,0,0,9,1,2
81563,1,1,45,0,0,0,0,0,1,1,9
62319,1,2,34,0,0,0,0,0,9,1,7
62044,2,2,67,0,0,1,0,0,9,2,3
10252,1,1,62,0,0,0,0,0,3,1,4
70725,1,1,53,0,0,0,0,0,4,2,5
72548,1,2,34,0,0,0,0,0,9,1,5
30911,2,1,43,0,0,2,0,0,9,1,1
88409,1,1,21,0,0,0,0,0,3,1,4
48501,1,1,52,0,0,0,0,0,9,3,9
67154,1,1,48,0,0,0,0,0,19,1,1
75162,1,1,86,0,0,0,0,0,9,1,6
105760,2,2,7,0,0,2,0,0,9,1,8
86847,2,2,66,0,0,0,0,0,5,1,6
104148,1,1,38,0,0,0,0,0,1,1,10
37177,1,1,10,0,0,0,0,0,1,1,1
109406,2,2,19,0,0,2,0,0,9,2,5
70679,1,2,74,0,0,0,0,0,9,3,10
15772,1,1,20,0,0,0,0,0,9,2,9
67458,1,2,47,0,0,0,0,0,9,1,9
21584,1,1,51,0,0,0,0,0,5,1,9
49592,1,1,91,0,0,0,0,0,9,1,10
23250,1,1,64,0,0,0,0,0,9,1,4
98841,1,1,52,0,0,0,0,0,1,1,8
18695,3,2,29,5,1,0,0,0,0,1,3
107986,1,1,46,0,0,0,0,0,9,1,3
76190,1,2,59,0,0,0,0,0,9,1,3
58520,1,1,61,0,0,0,0,0,20,1,1
55206,1,1,36,0,0,0,0,0,3,1,1
104452,1,2,28,0,0,0,0,0,9,1,8
78663,3,1,54,1,3,0,0,0,0,1,9
21610,1,1,45,0,0,0,0,0,4,1,2
80873,2,1,3,0,0,2,0,0,9,3,9
36242,1,1,17,0,0,0,0,0,1,1,9
28863,1,1,51,0,0,0,0,0,1,1,1
643,3,1,27,5,1,0,0,0,0,1,5
22990,1,2,30,0,0,0,0,0,1,1,2
73370,2,2,6,0,0,2,0,0,9,1,10
11069,1,1,29,0,0,0,0,0,5,1,6
67946,1,2,78,0,0,0,0,0,9,2,9
96376,1,2,20,0,0,0,0,0,90,1,9
49917,3,2,6,1,1,0,0,0,0,1,5
50189,1,2,60,0,0,0,0,0,9,1,6
108221,1,1,17,0,0,0,0,0,1,1,2
80189,1,1,57,0,0,0,0,0,1,3,10
72651,1,1,20,0,0,0,0,0,9,1,1
77233,1,2,19,0,0,0,0,0,9,1,3
70096,1,1,20,0,0,0,0,0,3,2,7
32232,3,1,13,5,1,0,0,0,0,1,6
